N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
22,0.0657553624916561,0.131556868476039,0.264955556192896,0.389695419903142,2.01400017545381,2.96218224420657,0.692294924523871,1.90384932722634,3.3314831060758,2.75005530126589,4.81223101320156,25.6418408573729,17.7253713860611,8.85957711133843,0.3,0.87,0.91,
23,0.0700801125848981,0.123890622852376,0.211503080657786,0.298529196511971,1.7071758603539,2.40961898196031,0.745103885274981,2.19697623017623,2.44486938075805,2.94855022714777,3.28124631890191,26.4079728635906,16.3837170182717,9.26763226114146,0.42,0.93,0.97,
24,0.0551194020957951,0.133923748039024,0.216322573931071,0.357144280393804,1.61526672527143,2.66677333649395,0.550960584657409,1.87787710032043,2.49399368485698,3.40836922388578,4.52662813694333,25.3927121956714,19.1952313448689,7.90023942961439,0.39,0.89,0.92,
25,0.0707444468815142,0.123682014004655,0.277650173368223,0.338455382501344,2.2448710558495,2.73649637115875,0.51493095009589,2.01132890481927,2.69831365199112,3.90601672796075,5.24014657011517,25.3702084766613,14.344706670279,8.20497909282313,0.29,0.86,0.91,
26,0.0601158042435281,0.111148410534841,0.217784973597844,0.321285989568534,1.95940699961316,2.8906035454985,0.631281718363332,1.56307518975832,2.39312494966154,2.47603430337056,3.79089854822025,25.7468753499943,16.4726139656504,8.90938909313356,0.37,0.88,0.95,
27,0.0501194675891251,0.123914288152165,0.227000039865802,0.307532765288922,1.83191174521415,2.48181843978538,0.57331691120536,1.43049775110701,2.07130305542407,2.49512568554708,3.61284137087339,25.8589273787349,19.1091026527996,7.7290364601713,0.39,0.9,0.94,
28,0.0471892525132502,0.0996877261201784,0.189262486281858,0.240980574439606,1.89855354964856,2.41735451111697,0.451454738069504,1.53931006537866,1.92029158279588,3.40966643070578,4.25356391430815,25.206809550926,19.0772930339293,9.03063228829266,0.41,0.95,0.99,
29,0.0438350572806903,0.0782173354518101,0.181566737973757,0.218294892682567,2.32131070337497,2.79087610721614,0.616452322741979,1.91658602460362,3.01450030351974,3.10905799831956,4.89007858728027,26.3778580384667,20.7500883561511,11.6288966687143,0.48,0.92,0.97,
30,0.05101250974589,0.111860771184309,0.250044179929326,0.330139382211311,2.23531607445596,2.95134191116341,0.367981710609988,1.65224092657633,2.30140974619878,4.49000827741541,6.25414165933363,26.1554675497469,17.090884621593,7.79405424345217,0.38,0.86,0.88,
31,0.0463849404759367,0.0792708814212101,0.140758671109637,0.184596063211134,1.77566678439853,2.32867428621455,0.685235918953089,1.64734404784802,2.46575440386421,2.40405384814744,3.59840214977553,26.0871434531792,18.1421113818337,10.6157613169797,0.43,0.92,0.95,
32,0.0544461941173759,0.0930461858606616,0.199237838708774,0.258451559814886,2.14127894513738,2.77766957800852,0.754109774893591,2.12253787975651,2.59522128698841,2.81462719410581,3.4414370074365,25.5252169690127,14.6504827970534,8.572764406229,0.42,0.89,0.92,
33,0.0382176216070163,0.0865179531031496,0.186190191377256,0.292967624551885,2.15204110475515,3.38620614616944,0.469116675596307,1.56056943171716,2.25109666986248,3.32661257401152,4.79858591042634,26.134905027521,20.7225563945191,9.15378589772667,0.37,0.87,0.94,
34,0.0355987659259048,0.0719613791574112,0.125070864512186,0.188035031103647,1.73802761949018,2.6129992685706,0.547825052503001,1.22549796670408,2.13390152587177,2.23702432209846,3.89522442634198,26.6639259769168,22.0297838020689,10.8979723033473,0.43,0.9,0.97,
35,0.0459854489249198,0.0775264185606097,0.175998471981097,0.261490297591914,2.27017415803237,3.37291857984491,0.349593957935967,1.33326886684522,2.4662312287302,3.81376404419846,7.05455907559457,26.1957212617296,16.2757828053076,9.65411781948145,0.49,0.88,0.95,
36,0.0391532194059907,0.069091195068129,0.149361790157407,0.17722250808673,2.16180643582913,2.56505199992526,0.423365063840269,1.35758852740421,2.73652301389526,3.20666168126809,6.46374310877885,25.7688395752182,18.2820496033615,10.3602361864748,0.49,0.95,0.97,
37,0.0385224168763689,0.0782328627711713,0.167797544595938,0.225836679298368,2.14484730140505,2.88672395843334,0.608677912849512,1.73093156942292,2.41017647594944,2.84375616870933,3.9596910370318,25.9286756579062,18.191356477717,8.95755304047856,0.41,0.9,0.94,
38,0.040315891067531,0.0771566112061969,0.160950461199484,0.233118625233249,2.08602294324919,3.02136941460858,0.264742248997648,1.45274689610796,1.8107176758832,5.48740105369758,6.83954934559496,26.6840917286308,17.4177705523335,9.10113766337533,0.4,0.88,0.92,
39,0.035442025519635,0.0658919619369223,0.125840488707554,0.161110047201845,1.90980030049826,2.44506374474134,0.37502502321169,1.50171245178619,1.97139924226569,4.0042993369499,5.25671387307106,25.2621967268759,18.2762871062096,9.83046512778814,0.44,0.94,0.99,
40,0.0349345602646053,0.0680898743852435,0.153948139470825,0.219733287645471,2.26095496372642,3.22710666790556,0.378061642141459,1.39017126230497,1.98719511250906,3.67710211073148,5.2562727634916,26.5823594351716,19.0229669658273,9.76002661011392,0.49,0.92,0.93,
41,0.035370798795023,0.0729315228021359,0.108734495781343,0.177658577449315,1.49091218177826,2.43596418425685,0.505827557036103,1.37527545107767,1.68174110931194,2.71886225245635,3.32473208689164,26.8898693494687,18.542144771425,8.99268857607144,0.32,0.95,0.98,
42,0.0410413665979244,0.0615351750867431,0.102404467652903,0.138693555628191,1.66416147363761,2.25389064762848,0.379923445823052,1.46789635947738,2.02747478830637,3.86366352383803,5.33653505883039,27.0265600895184,15.6790472462839,10.4572632650158,0.39,0.94,0.97,
43,0.0264664522403053,0.0640574680608824,0.122317968929579,0.139904639498966,1.90950364777646,2.18404885072878,0.51229402441073,1.31918274086352,1.6351066706322,2.57505002597077,3.19173480993262,25.7381696269515,22.6158791103921,9.34414210344399,0.39,0.92,0.96,
44,0.0283262310331644,0.0637477581924186,0.131561367998432,0.168647801161049,2.06378030740034,2.64554873681982,0.471860336366765,1.45406892807117,2.12670269166336,3.08156633648682,4.50705966947458,26.6725275312752,21.4004399956793,9.50925686985298,0.45,0.91,0.94,
45,0.0304655483905951,0.0596102893908374,0.136511912455582,0.198409069509586,2.29007296979446,3.32843660947036,0.344437380058687,1.56278582524983,1.92485742203261,4.53721319382802,5.58841035692653,26.5550076529156,19.3697902171383,9.8994869376797,0.45,0.88,0.95,
46,0.0330220726514524,0.0569783826146659,0.131277446634419,0.190136119685049,2.30398689134832,3.33698695821016,0.331346644970266,1.38269046595945,1.91012075300783,4.17294240623299,5.76472036763565,26.9351949258001,17.7320097971655,10.276664392849,0.42,0.86,0.94,
47,0.0309846095041704,0.0679201036639841,0.135814592128736,0.180678325429424,1.99962286277773,2.66015974185316,0.473352952485858,1.22800111538318,2.09812982181627,2.5942610243249,4.43248491595487,26.7800116063875,18.3893710492068,8.38908438370227,0.44,0.88,0.94,
48,0.0253980264354263,0.0562803442705258,0.120550726327122,0.170463939916469,2.14196853074786,3.02883612610987,0.46598794907099,1.27332618423024,1.93357003306839,2.73253028703594,4.14939922142456,26.2694346642918,21.5481265928617,9.72417450413546,0.43,0.88,0.95,
49,0.0333720882956383,0.0583493001197932,0.118864371811723,0.1766629894077,2.0371173530392,3.02767966445192,0.274346547727046,1.17220398466351,1.72448484495108,4.27271272183007,6.28579021401358,27.0576941672757,16.5466972056602,9.46365833034505,0.41,0.86,0.89,
50,0.0359146166985676,0.0654160800038096,0.101227699539496,0.135585152283342,1.547443679499,2.0726578583652,0.492383364896835,1.38293647586833,2.36623182156988,2.8086579979364,4.80566970832912,26.8481299413472,14.9510881136137,8.20841907365397,0.36,0.86,0.94,
51,0.0306126812746349,0.0566526567180773,0.0948217194908041,0.157934415643314,1.67373826725671,2.78776715502062,0.406880177020097,1.16194235069378,1.51761442975664,2.85573595451023,3.72988047948495,27.2304007223611,17.4414459530225,9.42461407565865,0.38,0.9,0.95,
52,0.0245691612061098,0.0548141225207459,0.122640501381937,0.162602979126735,2.23738875570836,2.96644316553994,0.394298908374298,1.3402249826116,1.92363451243601,3.39900759080813,4.87861992914763,27.084073310629,21.1992407594452,9.50206880478316,0.42,0.84,0.9,
53,0.03250968041329,0.055024965842311,0.109384657483345,0.163778078545544,1.98790959356188,2.9764321710784,0.545618460238883,1.22941988268051,1.94416222740298,2.25325932363477,3.56322663011032,27.2865759527167,15.8365461969035,9.35649932408959,0.36,0.91,0.94,
54,0.0258926223079024,0.0499494852421213,0.110738348097918,0.142428208591908,2.21700679318582,2.85144497288636,0.451840773498743,1.12020829914345,1.36133578471178,2.47921029894963,3.01286617887654,27.1882339961739,19.4451457545224,10.0798999690067,0.35,0.92,0.96,
