./07DEC19182720_ERROR00.sup,454941.603493,3984071.46068,1709.99782217,454938.607921,3984066.35492,1699.9978349,454935.612339,3984061.24914,1689.99784764
./07DEC19182720_ERROR01.sup,454943.288235,3984071.9723,1709.99782216,454940.348719,3984067.47494,1699.9978349,454937.409193,3984062.97756,1689.99784763
./07DEC19182720_ERROR02.sup,454941.041077,3984072.17011,1709.99782216,454938.081257,3984067.24511,1699.9978349,454935.121428,3984062.32009,1689.99784764
./07DEC19182720_ERROR03.sup,454934.008735,3984071.20807,1709.99782217,454930.749402,3984066.0966,1699.9978349,454927.490059,3984060.98512,1689.99784764
./07DEC19182720_ERROR04.sup,454939.627853,3984066.79997,1709.99782217,454936.957168,3984061.79753,1699.9978349,454934.286474,3984056.79508,1689.99784764
./07DEC19182720_ERROR05.sup,454930.991641,3984068.6135,1709.99782217,454928.393188,3984063.69823,1699.9978349,454925.794726,3984058.78294,1689.99784764
./07DEC19182720_ERROR06.sup,454938.460978,3984069.06954,1709.99782217,454935.065126,3984064.03992,1699.9978349,454931.669263,3984059.01029,1689.99784764
./07DEC19182720_ERROR07.sup,454941.161417,3984062.91764,1709.99782217,454938.077278,3984057.98022,1699.9978349,454934.993128,3984053.04278,1689.99784764
./07DEC19182720_ERROR08.sup,454942.477621,3984071.83887,1709.99782216,454939.546841,3984066.94627,1699.9978349,454936.61605,3984062.05365,1689.99784763
./07DEC19182720_ERROR09.sup,454938.712811,3984064.30095,1709.99782217,454935.937713,3984059.18791,1699.9978349,454933.162606,3984054.07486,1689.99784764
./07DEC19182720_ERROR10.sup,454941.818586,3984071.3344,1709.99782217,454938.97214,3984066.572,1699.9978349,454936.125685,3984061.80958,1689.99784764
./07DEC19182720_ERROR11.sup,454938.841307,3984075.23169,1709.99782216,454935.859186,3984070.46813,1699.9978349,454932.877054,3984065.70456,1689.99784763
./07DEC19182720_ERROR12.sup,454938.530822,3984066.39584,1709.99782217,454935.730963,3984061.92687,1699.9978349,454932.931095,3984057.45789,1689.99784764
./07DEC19182720_ERROR13.sup,454937.055439,3984068.06979,1709.99782217,454933.570987,3984063.23876,1699.9978349,454930.086524,3984058.40772,1689.99784764
./07DEC19182720_ERROR14.sup,454939.630925,3984076.542,1709.99782216,454936.700497,3984071.34825,1699.9978349,454933.770058,3984066.15449,1689.99784763
./07DEC19182720_ERROR15.sup,454940.163858,3984069.19769,1709.99782217,454937.310088,3984064.1064,1699.9978349,454934.456309,3984059.01509,1689.99784764
./07DEC19182720_ERROR16.sup,454938.114316,3984071.21686,1709.99782217,454935.24749,3984066.22027,1699.9978349,454932.380654,3984061.22367,1689.99784764
./07DEC19182720_ERROR17.sup,454939.890136,3984069.56272,1709.99782217,454937.147297,3984064.37577,1699.9978349,454934.404449,3984059.18881,1689.99784764
./07DEC19182720_ERROR18.sup,454944.021409,3984068.32864,1709.99782217,454941.041368,3984063.44533,1699.9978349,454938.061316,3984058.562,1689.99784764
./07DEC19182720_ERROR19.sup,454939.962298,3984071.14666,1709.99782216,454936.735106,3984066.02401,1699.9978349,454933.507903,3984060.90134,1689.99784764
./07DEC19182720_ERROR20.sup,454935.93302,3984070.08362,1709.99782217,454933.108544,3984065.31138,1699.9978349,454930.284059,3984060.53913,1689.99784764
./07DEC19182720_ERROR21.sup,454943.454643,3984072.33439,1709.99782216,454940.228537,3984067.21536,1699.9978349,454937.002421,3984062.09632,1689.99784763
./07DEC19182720_ERROR22.sup,454939.053038,3984067.9262,1709.99782217,454936.475629,3984063.47295,1699.9978349,454933.898211,3984059.01967,1689.99784764
./07DEC19182720_ERROR23.sup,454942.380447,3984072.09481,1709.99782216,454939.614947,3984066.99483,1699.9978349,454936.849437,3984061.89484,1689.99784763
./07DEC19182720_ERROR24.sup,454935.513847,3984069.20613,1709.99782217,454932.718162,3984064.54552,1699.9978349,454929.922467,3984059.8849,1689.99784764
./07DEC19182720_ERROR25.sup,454939.077262,3984070.61745,1709.99782217,454936.184717,3984066.0265,1699.9978349,454933.292161,3984061.43554,1689.99784764
./07DEC19182720_ERROR26.sup,454943.342444,3984070.83921,1709.99782217,454940.098951,3984065.5801,1699.9978349,454936.855447,3984060.32096,1689.99784763
./07DEC19182720_ERROR27.sup,454939.624812,3984073.21607,1709.99782216,454936.737106,3984067.70907,1699.9978349,454933.849389,3984062.20205,1689.99784763
./07DEC19182720_ERROR28.sup,454936.601739,3984065.05798,1709.99782217,454933.289256,3984059.90002,1699.9978349,454929.976763,3984054.74205,1689.99784764
./07DEC19182720_ERROR29.sup,454942.261084,3984062.57484,1709.99782217,454939.182104,3984057.2955,1699.9978349,454936.103113,3984052.01614,1689.99784764
./07DEC19182720_ERROR30.sup,454936.462132,3984069.56029,1709.99782217,454933.60759,3984065.07821,1699.9978349,454930.753039,3984060.59612,1689.99784763
./07DEC19182720_ERROR31.sup,454940.761959,3984068.67153,1709.99782217,454937.760713,3984063.82566,1699.9978349,454934.759457,3984058.97978,1689.99784763
./07DEC19182720_ERROR32.sup,454938.486128,3984068.97254,1709.99782217,454935.166959,3984063.81592,1699.9978349,454931.847779,3984058.65929,1689.99784764
./07DEC19182720_ERROR33.sup,454935.389464,3984070.01375,1709.99782217,454932.151203,3984064.97046,1699.9978349,454928.912931,3984059.92715,1689.99784764
./07DEC19182720_ERROR34.sup,454944.934527,3984075.11078,1709.99782216,454942.208029,3984070.55314,1699.9978349,454939.481522,3984065.99549,1689.99784763
