ALG,N,AREA,AVGX,AVGY,Z,L_MIN,AMBIG,GAIN,
OLDE,4,4.63096338535304,0.178184901227578,0.475288299830281,-1.9,0.405
BRUT,4,4.63096338535304,0.178184901227578,0.475288299830281,-1.9,0.405
POLY,4,4.63039707198323,0.558398121885527,0.717908131000199,-1.86454950187357,0.406880661365401,0,0.000566313369809279
OLDE,4,3.70827377028619,0.22990531247051,-0.472178500183509,-0.5,0.475
BRUT,4,3.70827377028619,0.22990531247051,-0.472178500183509,-0.5,0.475
POLY,4,3.70826381635458,0.196447841989215,0.155883067828222,-0.497000096149663,0.475258218696227,0,9.95393161007385e-06
OLDE,4,10.9649806438649,0.0897388899656654,-0.529108437745599,2.1,0.605
BRUT,4,10.9649806438649,0.0897388899656654,-0.529108437745599,2.1,0.605
POLY,4,10.9648835085012,0.509740946022727,0.401143080356269,2.07670768155548,0.603943771502143,0,9.71353636991523e-05
OLDE,4,9.78815861293841,1.9409509299713,0.178854599809274,4.4,0.72
BRUT,4,9.78815861293841,1.9409509299713,0.178854599809274,4.4,0.72
POLY,4,9.78755267417236,-0.552256036461281,-0.151733339499307,4.38321864580073,0.719269466420065,15.1938063124683,0.000605938766049974
OLDE,4,0.38776489303921,-1.16978412503129,-0.999067650149809,4.6,0.73
BRUT,4,0.38776489303921,-1.16978412503129,-0.999067650149809,4.6,0.73
POLY,4,0.38503174157917,-0.301356615874018,-0.442603071531541,4.57361180216072,0.728789136221,0,0.00273315146004005
OLDE,4,17.464626856182,-0.514456125025754,-3.83125175015302,-4.0,0.3
BRUT,4,17.464626856182,-0.514456125025754,-3.83125175015302,-4.0,0.3
POLY,4,17.4640630888076,-0.425690696685721,-0.336471301490894,-3.98063629218606,0.301076186961763,0,0.000563767374401891
OLDE,4,8.98553172868285,1.39198977997607,-2.98843472517096,-2.7,0.365
BRUT,4,8.98553172868285,1.39198977997607,-2.98843472517096,-2.7,0.365
POLY,4,8.98552924188915,0.959272829727666,-1.09881669742927,-2.70410753714956,0.36490270584612,0,2.48679370074001e-06
OLDE,4,0.23331538777859,0.800515712477063,-0.492478525177576,1.8,0.59
BRUT,4,0.23331538777859,0.800515712477063,-0.492478525177576,1.8,0.59
POLY,4,0.134002444964552,-0.122590324383218,-0.29157729367142,1.82816282252339,0.591516512422448,0,0.099312942814038
OLDE,4,14.3429963552419,-0.336301195021369,1.44936379991006,1.6,0.58
BRUT,4,14.3429963552419,-0.336301195021369,1.44936379991006,1.6,0.58
POLY,4,14.3427242698872,-0.345769324331285,0.119871789042115,1.61548975552345,0.580882845530476,0,0.000272085354700025
OLDE,4,1.06388432919117,0.615615474971783,-1.24971080015704,-1.3,0.435
BRUT,4,1.06388432919117,0.615615474971783,-1.24971080015704,-1.3,0.435
POLY,4,1.0629274877264,0.14262288011985,-0.402888763829238,-1.25566071531052,0.437325139449374,0,0.000956841464770042
OLDE,4,3.50321180802188,-0.405627288779797,-2.44695225015748,9.1,0.955
BRUT,4,3.50321180802188,-0.405627288779797,-2.44695225015748,9.1,0.955
POLY,4,3.5003638052628,0.484850723485841,0.487684704567261,9.13031703954591,0.956624688238833,2.06473704391902,0.00284800275907982
OLDE,4,0.314544632261996,1.90145829997142,1.2621980497957,-0.1,0.495
BRUT,4,0.314544632261996,1.90145829997142,1.2621980497957,-0.1,0.495
POLY,4,0.294236564159715,-0.0963896334000699,1.39517916778916,-0.117995195392419,0.494208487857782,0,0.020308068102281
OLDE,4,9.35881073316083,-0.469823125020412,-0.725919062766479,2.5,0.625
BRUT,4,9.35881073316083,-0.469823125020412,-0.725919062766479,2.5,0.625
POLY,4,9.35644828435155,-0.978762761971598,0.368307893549355,2.53273799680573,0.626745316313823,0,0.00236244880927927
OLDE,4,22.5197692978659,-0.138903448776983,0.767176749785431,-1.1,0.445
BRUT,4,22.5197692978659,-0.138903448776983,0.767176749785431,-1.1,0.445
POLY,4,22.5195997701298,0.320168835655988,-0.395292479066521,-1.13061663166902,0.443577351312307,0,0.000169527736098019
OLDE,4,15.9681442269501,1.86716582497371,-1.57730506265652,1.1,0.555
BRUT,4,15.9681442269501,1.86716582497371,-1.57730506265652,1.1,0.555
POLY,4,15.9641013323168,-0.518986230279224,1.04029520626021,1.04830027409649,0.552523335619558,0,0.00404289463330088
OLDE,4,0.551418632247317,-2.88792493253379,-2.71976915014908,-0.3,0.485
BRUT,4,0.551418632247317,-2.88792493253379,-2.71976915014908,-0.3,0.485
POLY,4,0.523127607779555,0.167364109245363,0.281861803461124,-0.337934514199621,0.483211507901484,0,0.028291024467762
OLDE,4,5.38195405349216,-2.25525725002808,7.5280799997272,10.0,1
BRUT,4,5.38195405349216,-2.25525725002808,7.5280799997272,10.0,1
POLY,4,5.34698584499925,-0.388886427444871,1.45796781439926,10.7146635223026,1.03584211326006,0,0.0349682084929102
OLDE,4,22.8134540888267,-0.149068771278398,-3.92845765016682,1.9,0.595
BRUT,4,22.8134540888267,-0.149068771278398,-3.92845765016682,1.9,0.595
POLY,4,22.8134261792511,-1.00348833857043,-0.604782421177651,1.9022805109163,0.595222401561543,0,2.79095755999492e-05
OLDE,4,48.6660492320405,-1.27574700002151,-3.85557750018779,-10.0,0
BRUT,4,48.6660492320405,-1.27574700002151,-3.85557750018779,-10.0,0
POLY,4,48.6482174916847,1.12880050271066,-0.685557784253814,-10.4728609090692,-0.0235354569140998,20.9577445773432,0.0178317403558026
OLDE,4,6.76596499328824,1.57148394372089,-0.295381000076304,-3.5,0.325
BRUT,4,6.76596499328824,1.57148394372089,-0.295381000076304,-3.5,0.325
